code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
,"Tomatoes Crushed ""BULK"" 10kg",73,0.0,3.0,14.0,14.0,42.0,42.0,3.0,14.0,14.0,42.0,42.0,ANTO,,
,Fire Roast Pepper STRIP 4.2kg,73,0.0,2.0,13.9,13.9,27.8,27.8,2.0,13.9,13.9,27.8,27.8,NESTO,,
,BBQ Sauce 3lt,73,0.0,2.0,8.15,8.15,16.3,16.3,2.0,8.15,8.15,16.3,16.3,SUNSH,,
,"BROWN Pizza Box 100x12""",73,10.0,2.0,30.0,33.0,60.0,66.0,2.0,30.0,33.0,60.0,66.0,PERFE,,
,"Pizza InsertIO"" Cardboard100s",73,10.0,4.0,9.3795,10.3175,37.5182,41.27,4.0,9.3795,10.3175,37.5182,41.27,FIRST,,
,Mozzarella Traditional [6x2kg],73,0.0,6.0,97.0,97.0,582.0,582.0,6.0,97.0,97.0,582.0,582.0,ALESS,,
,Cream Thickened Caterers 5lt,73,0.0,4.0,16.9,16.9,67.6,67.6,4.0,16.9,16.9,67.6,67.6,D/FAR,,
,Anchovie Tin Oil 720g [Italy],73,0.0,1.0,13.95,13.95,13.95,13.95,1.0,13.95,13.95,13.95,13.95,ALPI,,
,Sweet Chilli Sauce 4.5lt,74,0.0,1.0,16.88,16.88,16.88,16.88,1.0,16.88,16.88,16.88,16.88,MPLOY,,
,Vinegar Balsamic 5lt,74,0.0,1.0,17.54,17.54,17.54,17.54,1.0,17.54,17.54,17.54,17.54,TOSCH,,
,"BROWN Pizza Box 100x12""",74,10.0,1.0,30.0,33.0,30.0,33.0,1.0,30.0,33.0,30.0,33.0,PERFE,,
,"Pizza InsertIO"" Cardboard100s",74,10.0,1.0,9.3818,10.32,9.3818,10.32,1.0,9.3818,10.32,9.3818,10.32,FIRST,,
