code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
65235,Dressing P/c Caesar Salad Squeeze On,43,0.0,0.5,24.45,24.45,12.225,12.225,0.5,45.9025263503,45.9025263503,22.9512631751,22.9512631751,,,
142728,Onion Rings Beer Battered,43,0.0,3.0,13.06,13.06,39.18,39.18,3,13.06,13.06,39.18,39.18,,,
157761,Bread Brioche Roll 3 Pack,44,10.0,1.2,35.48,39.028,42.576,46.8336,1.2,35.48,39.028,42.576,46.8336,,,
33044,Spaghetti In Tomato & Cheese Sauce,44,0.0,4.0,1.86,1.86,7.44,7.44,4,2.75221942508,2.75221942508,11.0088777003,11.0088777003,,,
144122,Profiteroles Chocolate Filled Mini,44,10.0,2.0,46.71,51.381,93.42,102.762,1,46.71,51.381,46.71,51.381,,,
126720,Chicken Bites Oriental Perfect,44,0.0,2.0,15.53,15.53,31.06,31.06,2,15.53,15.53,31.06,31.06,,,
49967,Soft Drink Dry Ginger Ale,44,10.0,3.0,2.33,2.563,6.99,7.689,3,2.33,2.563,6.99,7.689,,,
130715,Chips Steakhouse,44,0.0,3.0,41.46,41.46,124.38,124.38,3,41.46,41.46,124.38,124.38,,,
102249,Bags Garbage 240lt Biodegradable All Purpose Black,44,10.0,1.0,7.81,8.591,7.81,8.591,1,7.81,8.591,7.81,8.591,,,
53651,Chicken Satay Skewers Malay Raw,45,0.0,1.0,52.92,52.92,52.92,52.92,1,52.92,52.92,52.92,52.92,,,
125627,Lids Sipper To Suit 237/355/473ml 8/12/16oz White,45,10.0,2.0,5.12,5.632,10.24,11.264,2,5.12,5.632,10.24,11.264,,,
155479,Buns Bbq Pork Mini,45,0.0,1.0,7.38,7.38,7.38,7.38,1,7.38,7.38,7.38,7.38,,,
147245,Ice Cream Cookies & Cream,45,10.0,3.0,39.41,43.351,118.22999999999999,130.053,2,76.8074753408,84.4882228749,153.614950682,168.97644575,,,
144815,Honey,45,0.0,2.5,28.28,28.28,70.7,70.7,2.5,28.28,28.28,70.7,70.7,,,
159542,Slice Pear & Raspberry,45,10.0,10.0,13.79,15.169,137.9,151.69,10,23.9890306725,26.3879337397,239.890306725,263.879337397,,,
149977,Cups Cold 400ml 14oz Clear Pet Hikleer,45,10.0,1.0,9.22,10.142,9.22,10.142,1,9.22,10.142,9.22,10.142,,,
33158,Croissants Jumbo Preproofed 100gr Cpj,46,10.0,1.0,68.46,75.306,68.46,75.306,1,68.46,75.306,68.46,75.306,,,
